date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:49:04	13702/13702	U-----	200	untouched ('')	application/javascript	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/js/main.js	C:/My%20Web%20Sites/swap/qingswap.com/js/main.js	(from https://qingswap.com/)
09:49:04	1238/1238	U-----	200	untouched ('OK')	text/html	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/css/owl.video.play.html	C:/My%20Web%20Sites/swap/qingswap.com/css/owl.video.play.html	(from https://qingswap.com/css/owl.carousel.min.css)
09:49:04	165742/165742	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	C:/My%20Web%20Sites/swap/qingswap.com/fonts/fontawesome-webfont3e6e3e6e.eot	(from https://qingswap.com/css/font-awesome.min.css)
09:49:11	165742/165742	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/swap/qingswap.com/fonts/fontawesome-webfontd41dd41d.eot	(from https://qingswap.com/css/font-awesome.min.css)
09:49:20	77160/77160	U-----	200	untouched ('')	font/woff2	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0	C:/My%20Web%20Sites/swap/qingswap.com/fonts/fontawesome-webfont3e6e3e6e.woff2	(from https://qingswap.com/css/font-awesome.min.css)
09:49:20	98024/98024	U-----	200	untouched ('')	font/woff	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/fontawesome-webfont3e6e.woff?v=4.7.0	C:/My%20Web%20Sites/swap/qingswap.com/fonts/fontawesome-webfont3e6e3e6e.woff	(from https://qingswap.com/css/font-awesome.min.css)
09:49:20	165548/165548	U-----	200	untouched ('')	font/ttf	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/fontawesome-webfont3e6e.ttf?v=4.7.0	C:/My%20Web%20Sites/swap/qingswap.com/fonts/fontawesome-webfont3e6e3e6e.ttf	(from https://qingswap.com/css/font-awesome.min.css)
09:49:27	444379/444379	U-----	200	untouched ('OK')	image/svg+xml	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/fontawesome-webfont3e6e.svg?v=4.7.0	C:/My%20Web%20Sites/swap/qingswap.com/fonts/fontawesome-webfont3e6e3e6e.svg	(from https://qingswap.com/css/font-awesome.min.css)
09:49:37	78748/78748	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/themifyd41d.eot?	C:/My%20Web%20Sites/swap/qingswap.com/fonts/themifyd41dd41d.eot	(from https://qingswap.com/css/themify-icons.css)
09:49:37	56108/56108	U-----	200	untouched ('')	font/woff	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/themify9f24.woff?-fvbane	C:/My%20Web%20Sites/swap/qingswap.com/fonts/themify9f249f24.woff	(from https://qingswap.com/css/themify-icons.css)
09:49:37	78748/78748	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Wed,%2008%20Mar%202023%2002:27:34%20GMT	https://qingswap.com/fonts/themify9f24.eot?-fvbane	C:/My%20Web%20Sites/swap/qingswap.com/fonts/themify9f249f24.eot	(from https://qingswap.com/css/themify-icons.css)
